JG001|Stardew Valley|RPG|117.0|Switch|2|RPG de vida en el campo
JG002|Hollow Knight|Metroidvania|117.0|PS5|7|Una aventura a través de un vasto reino de insectos y héroes
JG003|Mario Kart|Arcade|500.0|Switch|3|Competición de karts en el universo Mario
JG004|Animal Crossing|Cozy|450.0|Switch|13|Interactua en un mundo de animales
JG005|Cuphead|Plataformas|160.0|Switch|8|Videojuego de pequeña taza en acción
JG006|Hogwarts Legacy|RPG|468.0|PS5|7|Juego de mundo abierto ambientado en el universo de Harry Potter
JG007|Overcooked|Accion|300.0|Switch|7|Caótico juego de cocina cooperativo
Carta-001|Bulbasaur|Planta|Comun|3|3|3|Proyecto2/src/img/Carta-001.png
Carta-002|Charmander|Fuego|Poco Comun|4|3|3|Proyecto2/src/img/Carta-002.png
Carta-003|Charizard|Fuego|Raro|4|4|4|Proyecto2/src/img/Carta-003.png
Carta-004|Squirtle|Agua|Ultra Rara|3|4|3|Proyecto2/src/img/Carta-004.png
Carta-005|Ekans|Veneno|Comun|4|3|3|Proyecto2/src/img/Carta-005.png
Carta-006|Ivysaur|Planta|Poco Comun|4|4|4|Proyecto2/src/img/Carta-006.png
Carta-007|Pikachu|Electrico|Legendario|4|3|3|Proyecto2/src/img/Carta-007.png
Carta-008|Vulpix|Fuego|Raro|3|3|3|Proyecto2/src/img/Carta-008.png
Carta-009|Clefairy|Hada|Poco Comun|3|3|5|Proyecto2/src/img/Carta-009.png
Carta-010|Nidoran|Veneno|Raro|4|3|3|Proyecto2/src/img/Carta-010.png
Carta-011|Meowth|Normal|Poco Comun|3|3|3|Proyecto2/src/img/Carta-011.png
Carta-012|Persian|Normal|Legendaria|5|4|4|Proyecto2/src/img/Carta-012.png
Carta-013|Psyduck|Agua|Poco Comun|4|3|3|Proyecto2/src/img/Carta-013.png
Carta-014|Bellsprout|Planta|Comun|4|3|3|Proyecto2/src/img/Carta-014.png
Carta-015|Wartortle|Agua|Raro|4|3|3|Proyecto2/src/img/Carta-015.png
Carta-016|Caterpie|Planta|Poco Comun|4|3|3|Proyecto2/src/img/Carta-016.png
Carta-017|Blastoiste|Agua|Poco Comun|4|3|3|Proyecto2/src/img/Carta-017.png
Carta-018|Pidgeot|Normal|Poco Comun|4|3|3|Proyecto2/src/img/Carta-018.png
Carta-019|Rattata|Normal|Poco Comun|4|3|3|Proyecto2/src/img/Carta-019.png
Carta-020|Jigglypuff|Hada|Poco Comun|4|3|3|Proyecto2/src/img/Carta-020.png
Carta-021|Ninetiles|Fuego|Poco Comun|4|3|3|Proyecto2/src/img/Carta-021.png
Carta-022|Raichu|Electrico|Poco Comun|4|3|3|Proyecto2/src/img/Carta-022.png
Carta-023|Arbok|Veneno|Poco Comun|4|3|3|Proyecto2/src/img/Carta-023.png
Carta-024|Nidorina|Veneno|Poco Comun|4|3|3|Proyecto2/src/img/Carta-024.png
